;molecule_chembl_id;units;IC50;pIC50;smiles;MW;HBA;HBD;LogP;rule_of_five_conform
771;CHEMBL206783;nM;8.0;8.096910013008056;COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN4CCCC[C@@H]4C(=O)N;443.15243087600004;6;2;4.014300000000003;yes
772;CHEMBL122182;nM;8.0;8.096910013008056;Oc1ccc(Nc2[nH]nc3ncnc(Nc4cccc(Cl)c4)c23)cc1;352.083936716;6;4;4.199100000000001;yes
773;CHEMBL497459;nM;8.0;8.096910013008056;CN(C)\N=C\c1c(N)ncnc1Nc2ccc3c(cnn3Cc4cccc(F)c4)c2;404.187320892;8;2;3.235000000000002;yes
774;CHEMBL91867;nM;8.0;8.096910013008056;CC#CC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1;380.027273136;4;2;4.0977000000000015;yes
776;CHEMBL3671494;nM;8.0;8.096910013008056;Fc1cc(Br)ccc1Nc2ncnc3cc(OCCNC(=O)C4CC4)c(NC(=O)C=C)cc23;513.081179852;6;3;4.304500000000003;yes
778;CHEMBL123189;nM;8.0;8.096910013008056;COc1cccc(CNc2[nH]nc3ncnc(Nc4cccc(Cl)c4)c23)c1;380.115236844;6;3;4.370600000000002;yes
779;CHEMBL3676384;nM;8.0;8.096910013008056;CCNC(=O)NCCOc1cc2ncnc(Nc3ccc(Br)c(Cl)c3F)c2cc1NC(=O)C=C;550.053106532;6;4;4.750800000000003;yes
780;CHEMBL120979;nM;8.0;8.096910013008056;COc1cccc(Nc2[nH]nc3ncnc(Nc4cccc(Cl)c4)c23)c1;366.09958678;6;3;4.502100000000002;yes
781;CHEMBL2087359;nM;8.0;8.096910013008056;Brc1cccc(Nc2ncnc3cc4OCCCSCCCOc4cc23)c1;445.04595997999996;6;1;5.420500000000003;yes
783;CHEMBL1914658;nM;8.0;8.096910013008056;Br.C[C@@H](Nc1ncnc2[nH]c(cc12)c3ccc(O)cc3)c4ccccc4F;428.064801516;4;3;5.220600000000004;yes
784;CHEMBL266995;nM;8.0;8.096910013008056;Oc1cc(O)c2c(O)c(cnc2c1)c3cccc(Cl)c3;287.03492086;4;3;3.6720000000000015;yes
785;CHEMBL3897363;nM;8.0;8.096910013008056;CN1CCN(CC1)c2ccc(Nc3ncnc4cc5OC(=O)N(CCOC(=O)CBr)c5cc34)cc2Cl;574.0730930279999;10;1;3.624600000000002;yes
786;CHEMBL3622649;nM;8.1;8.09151498112135;CN(C)C\C=C\C(=O)Nc1cc2c(Nc3cccc(c3)C#C)ncnc2cc1OC4CCN(C)CC4;484.25867426400004;7;2;3.884000000000003;yes
787;CHEMBL162053;nM;8.1;8.09151498112135;CN(C)CCN(C)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1;400.1011067720001;6;1;3.5287000000000015;yes
789;CHEMBL1243284;nM;8.12;8.090443970758825;CNC\C=C\C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)c(cnc2cc1OCCF)C#N;471.127359;6;3;4.704980000000003;yes
790;CHEMBL1204261;nM;8.17;8.087777943467584;Cl.CCOc1cc2ncnc(Nc3cccc(F)c3)c2cc1OCC;363.114982748;5;1;4.731700000000003;yes
791;CHEMBL598611;nM;8.2;8.086186147616283;COc1cc2c(Nc3cccc(c3)C#C)ncnc2cc1OCCCCCCC(=O)NO;434.19540531199993;7;3;4.198000000000002;yes
793;CHEMBL129824;nM;8.4;8.075720713938116;CN(C)CCCCCNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1;428.13240690000003;6;2;4.674700000000003;yes
794;CHEMBL597200;nM;8.43;8.074172425375258;Fc1ccc(OCC(=O)Nc2ccc3ncnc(Nc4cccc(Br)c4)c3c2)cc1;466.04406607199996;5;2;5.292500000000003;yes
795;CHEMBL460736;nM;8.6;8.065501548756432;CN(N)C\C=C\C(=O)Nc1cc2c(Nc3cccc(Br)c3)ccnc2cn1;426.08037132800007;6;3;3.4361000000000015;yes
796;CHEMBL93464;nM;8.7;8.060480747381384;C\C=C\C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1;382.0429232;4;2;4.650500000000003;yes
797;CHEMBL3612595;nM;8.7;8.060480747381384;CCOC(=O)CCCN1C(=O)Oc2cc3ncnc(Nc4cccc(O)c4)c3cc12;408.14336973999997;9;2;3.3302000000000023;yes
798;CHEMBL2048798;nM;8.8;8.05551732784983;OCCn1ccc2ncnc(Nc3ccc(Oc4cccc5sccc45)c(Cl)c3)c12;436.076074464;7;2;5.827600000000003;yes
799;CHEMBL136058;nM;8.8;8.05551732784983;Brc1cccc(Nc2ncnc3cnc(NC(=O)\C=C\C(=O)NCCCN4CCOCC4)cc23)c1;539.128049792;8;3;2.8641000000000005;yes
800;CHEMBL39355;nM;8.8;8.05551732784983;Brc1cccc(Nc2ncnc3cc4c(cnn4CCCN5CCOCC5)cc23)c1;466.11167145600007;7;1;4.207900000000002;yes
801;CHEMBL126893;nM;8.8;8.05551732784983;CN(C)CCCNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1;400.10110677200004;6;2;3.8945000000000016;yes
802;CHEMBL2029431;nM;8.81;8.055024091587953;CC(C)Oc1cc(ccc1Nc2ncc3CN(C)C(=O)N(c4cccc(NC(=O)C=C)c4)c3n2)N5CCN(C)CC5;556.2910370120001;8;2;4.587200000000003;yes
803;CHEMBL3622654;nM;8.9;8.050609993355089;COCCOc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)\C=C\CN(C)C4CC4;499.17864562400007;7;2;4.780000000000004;yes
804;CHEMBL1203935;nM;8.95;8.048176964684089;Cl.CCOc1cc2ncnc(Nc3cc(F)cc(c3)C(F)(F)F)c2cc1OCC;431.10236737599996;5;1;5.750500000000002;yes
805;CHEMBL3085374;nM;9.0;8.045757490560675;COc1cc2ncnc(C#C[C@](C)(O)Cc3ccccc3)c2cc1OC;348.14739249999997;5;1;2.9922000000000013;yes
806;CHEMBL3957801;nM;9.0;8.045757490560675;CCC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN4CCOCC4;487.178645624;7;2;4.615500000000004;yes
807;CHEMBL3940909;nM;9.0;8.045757490560675;Fc1ccc(Nc2ncnc3ccc(O[C@H]4CCN(C4)C(=O)C=C)cc23)c(F)c1Cl;430.100809904;5;1;4.4707000000000034;yes
808;CHEMBL91009;nM;9.0;8.045757490560675;COCC#CC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1;410.03783782;5;2;3.7242000000000015;yes
809;CHEMBL3233784;nM;9.0;8.045757490560675;Fc1ccc(Nc2ncnc3sc(NC(=O)\C=C\CN4CCCCC4)cc23)cc1Cl;445.11393719200004;6;2;5.208000000000004;yes
810;CHEMBL385471;nM;9.0;8.045757490560675;COc1cc2ncnc(Nc3cc(Cl)ccc3F)c2cc1OCC4CCN(C)CC4;430.157181908;6;1;4.895100000000004;yes
812;CHEMBL469355;nM;9.0;8.045757490560675;NS(=O)(=O)c1ccc(Nc2nc3ncnc(Nc4ccc(F)c(Cl)c4)c3s2)cc1;450.013571524;8;3;4.013400000000002;yes
814;CHEMBL77452;nM;9.0;8.045757490560675;OCCCNCc1ccc(cc1)c2cc3nccc(Nc4ccc5[nH]ccc5c4)c3s2;428.16708238800004;5;4;5.660200000000003;yes
815;CHEMBL3671492;nM;9.0;8.045757490560675;CN(C)CCOc1cc2ncnc(Nc3ccc(Br)cc3F)c2cc1NC(=O)C=C;473.086265232;6;2;4.339900000000003;yes
816;CHEMBL53940;nM;9.0;8.045757490560675;CNc1cc2c(Nc3ccccc3)ncnc2cn1;251.11709541599998;5;2;2.8101000000000003;yes
817;CHEMBL425601;nM;9.0;8.045757490560675;COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN(C)C4(CN(C4)C(C)C)C(=O)N;486.19463003600004;7;2;3.554400000000002;yes
818;CHEMBL3676355;nM;9.0;8.045757490560675;CN(C)CC(=O)NCCOc1cc2ncnc(Nc3cc(Cl)c(Br)cc3F)c2cc1NC(=O)C=C;564.068756596;7;3;4.1095000000000015;yes
819;CHEMBL506414;nM;9.0;8.045757490560675;Fc1cccc(COc2ccc(Nc3ncnc4sc(cc34)c5cccs5)cc2Cl)c1;467.03291;6;1;7.534900000000003;yes
820;CHEMBL214478;nM;9.0;8.045757490560675;COc1cc2ncnc(Nc3cc(Cl)ccc3F)c2cc1OC4CCN(CC(=O)N)CC4;459.147345496;7;2;3.503000000000002;yes
821;CHEMBL3671533;nM;9.0;8.045757490560675;CN(C)CCC(=O)NCCOc1cc2ncnc(Nc3ccc(Br)cc3F)c2cc1NC(=O)C=C;544.1233790120001;7;3;3.8462000000000014;yes
822;CHEMBL257860;nM;9.0;8.045757490560675;OC1CCN(CCCOc2n[nH]c3ncnc(Nc4ccc(OCc5ccccn5)c(Cl)c4)c23)CC1;509.194215436;9;3;3.949500000000003;yes
823;CHEMBL207130;nM;9.0;8.045757490560675;COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN(C)C4(CCN(C)CC4)C(=O)N;486.19463003600004;7;2;3.556000000000002;yes
824;CHEMBL1914660;nM;9.0;8.045757490560675;Br.C[C@@H](Nc1ncnc2[nH]c(cc12)c3ccc(O)cc3)c4cccc(F)c4;428.064801516;4;3;5.220600000000004;yes
825;CHEMBL1272324;nM;9.0;8.045757490560675;CCN(CC)C\C=C\C(=O)N1CCc2c(C1)sc3ncnc(N[C@H](CO)c4ccccc4)c23;465.21984623200007;7;2;3.619500000000002;yes
827;CHEMBL301018;nM;9.0;8.045757490560675;COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OC;333.068032556;5;1;4.183100000000002;yes
828;CHEMBL1645473;nM;9.0;8.045757490560675;NC1CCN(Cc2ccn3ncnc(Nc4cccc(Cl)c4)c23)CC1;356.151622352;6;2;3.0494000000000003;yes
829;CHEMBL3676360;nM;9.0;8.045757490560675;CN(C)CC(=O)NCCOc1cc2ncnc(Nc3cc(Cl)c(Cl)cc3F)c2cc1NC(=O)C=C;520.119272176;7;3;4.000400000000002;yes
830;CHEMBL208118;nM;9.0;8.045757490560675;COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN(C)[C@H](C)C(=O)N;417.13678081200004;6;2;3.480100000000002;yes
831;CHEMBL3622644;nM;9.0;8.045757490560675;CN(C)C\C=C\C(=O)Nc1cc2c(Nc3ccc(OCc4ccccn4)cc3)ncnc2cc1O[C@H]5CCOC5;540.248503504;9;2;4.571400000000003;yes
833;CHEMBL3633940;nM;9.0;8.045757490560675;NC(=O)Nc1ccc(cc1)C(=O)Nc2ccc3ncnc(Nc4ccc(F)c(Cl)c4)c3c2;450.10072965200004;5;4;4.908800000000002;yes
834;CHEMBL3758990;nM;9.0;8.045757490560675;COC(=O)c1cccc(c1OC)c2cc3c(N[C@H](C)c4ccccc4)ncnc3s2;419.13036253200005;7;1;5.3266000000000036;yes
835;CHEMBL3759478;nM;9.0;8.045757490560675;OC[C@@H](Nc1ncnc2sc(cc12)c3ccccc3)c4ccccc4;347.109233164;5;2;4.503800000000003;yes
836;CHEMBL569880;nM;9.0;8.045757490560675;COCCOc1cc2ncnc(Nc3ccc(F)c(Cl)c3F)c2cc1NC(=O)[C@@H]4CCCN4C(=O)C=C;531.148488368;7;2;4.445700000000003;yes
837;CHEMBL81712;nM;9.0;8.045757490560675;O=C(c1ccccc1)c2cc3ncnc(Nc4ccc5[nH]ccc5c4)c3s2;370.08883206800004;5;2;5.1472000000000016;yes
838;CHEMBL514566;nM;9.0;8.045757490560675;Nc1ncnc(Nc2ccc3c(cnn3Cc4cccc(F)c4)c2)c1\C=N\N5CCN(CCO)CC5;489.24008473600003;10;3;2.2832999999999997;yes
839;CHEMBL517130;nM;9.0;8.045757490560675;COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1CN(C)[C@H](C)C(=O)N;417.13678081200004;6;2;3.480100000000002;yes
840;CHEMBL3416447;nM;9.0;8.045757490560675;COc1ccccc1c2cc3c(N[C@H](C)c4ccccc4)ncnc3s2;361.1248832280001;5;1;5.540000000000004;yes
841;CHEMBL3814182;nM;9.05;8.043351420794796;Clc1ccc(Nc2ncnc3ccc(NC(=S)NCCN4CCOCC4)cc23)cc1Cl;476.095285684;6;3;4.298800000000002;yes
844;CHEMBL3219125;nM;9.14;8.039053804266171;COc1cc(ccc1Nc2ncc3C(=O)N(C)CC(=O)N(c4cccc(NC(=O)C=C)c4)c3n2)N5CCN(C)CC5;556.2546515040001;9;2;2.8554000000000004;yes
845;CHEMBL3805039;nM;9.2;8.036212172654443;CCOc1cc2ncnc(Nc3cccc(c3)C#C)c2c4OCCOc14;347.12699140399997;6;1;3.5246000000000013;yes
846;CHEMBL435993;nM;9.2;8.036212172654443;OCCN(CCO)CCNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1;446.1065860760001;8;4;2.229399999999999;yes
847;CHEMBL3639542;nM;9.2;8.036212172654443;CC(C)N(C)C\C=C\C(=O)N1CCc2sc3ncnc(Nc4ccc(Cl)c(Cl)c4)c3c2C1;489.11568678000003;6;1;5.5228000000000055;yes
848;CHEMBL604914;nM;9.25;8.033858267260968;Brc1cccc(Nc2ncnc3ccc(NC(=O)COc4ccccc4)cc23)c1;448.053487884;5;2;5.153400000000002;yes
849;CHEMBL3971939;nM;9.3;8.031517051446064;COc1cc2ncnc(Nc3cccc(C)c3)c2cc1OC4CCN(CC4)C(=O)C=C;418.20049069199996;6;1;4.246220000000004;yes
850;CHEMBL129509;nM;9.3;8.031517051446064;Cc1cccc(Nc2ncnc3cc(NCCCN4CCOCC4)ncc23)c1;378.21680945199995;7;2;3.2110200000000013;yes
851;CHEMBL1203939;nM;9.31;8.031050319018657;Cl.CCOc1cc2ncnc(Nc3ccccc3F)c2cc1OCC;363.114982748;5;1;4.731700000000003;yes
852;CHEMBL357367;nM;9.4;8.0268721464003;CCO.Nc1ccc2sc3c(Nc4ccccc4)ncnc3c2c1;338.12013219600004;6;3;4.168900000000002;yes
853;CHEMBL596736;nM;9.4;8.0268721464003;COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCCC(=O)NO;434.11571101999994;7;3;4.229000000000002;yes
855;CHEMBL53796;nM;9.6;8.017728766960431;CN(C)c1ccc2ncnc(Nc3cccc(Br)c3)c2n1;343.04325754800004;5;1;3.5969000000000015;yes
856;CHEMBL3622667;nM;9.6;8.017728766960431;FC(F)Oc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)\C=C\CNC4CC4;477.11793718800004;6;3;5.014000000000003;yes
858;CHEMBL3805238;nM;9.7;8.013228265733755;CCOc1cc2ncnc(Nc3cccc(c3)[N+](=O)[O-])c2c4OCCOc14;368.1120696119999;8;1;3.451500000000002;yes
859;CHEMBL2148051;nM;9.8;8.008773924307505;CC(C(=O)NCCn1ccc2ncnc(Nc3ccc(Oc4cccc(Cl)c4)c(Cl)c3)c12)S(=O)(=O)C;547.0847805759998;8;2;4.823300000000003;yes
862;CHEMBL3965948;nM;10.0;8.0;Clc1cc(Nc2ncnc3cc4OC(=O)N(CCOC(=O)CBr)c4cc23)ccc1N5CCOCC5;561.041458552;10;1;3.7094000000000014;yes
863;CHEMBL207445;nM;10.0;8.0;COCC[C@H](N(C)Cc1cc2c(Nc3cccc(Cl)c3F)ncnc2cc1OC)C(=O)N;461.16299556000007;7;2;3.4967000000000006;yes
864;CHEMBL52076;nM;10.0;8.0;Nc1cc2ncnc(Nc3cccc(Br)c3)c2cn1;315.01195742000004;5;2;3.113100000000001;yes
865;CHEMBL3622638;nM;10.0;8.0;COCCOc1cc2ncnc(Nc3ccc(OCc4ccccn4)cc3)c2cc1NC(=O)\C=C\CN(C)C;528.248503504;9;2;4.428900000000003;yes
867;CHEMBL251124;nM;10.0;8.0;CCOc1cc2ncnc(C#Cc3[nH]ccc3c4ccccc4)c2cc1OCC;383.163376912;4;1;4.822100000000003;yes
868;CHEMBL276154;nM;10.0;8.0;COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OC4CCN(C)CC4;416.141531844;6;1;4.6475000000000035;yes
870;CHEMBL1645476;nM;10.0;8.0;NC1CCN(Cc2ccn3ncnc(Nc4ccc(F)c(Cl)c4)c23)CC1;374.14220054;6;2;3.1885000000000003;yes
871;CHEMBL300491;nM;10.0;8.0;COc1ccc2cncnc2c1;160.063662876;3;0;1.6383999999999999;yes
872;CHEMBL382823;nM;10.0;8.0;COCCN(Cc1cc2c(Nc3cccc(Cl)c3F)ncnc2cc1OC)[C@@H](C)C(=O)N;461.16299556000007;7;2;3.4967000000000006;yes
873;CHEMBL14699;nM;10.0;8.0;COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCN4CCOCC4;432.13644646399996;7;1;3.885500000000003;yes
874;CHEMBL205149;nM;10.0;8.0;COc1cc(OC2CCNCC2)c3c(Nc4ccc(F)c(Cl)c4)ncnc3c1;402.12588178000004;6;2;4.305300000000003;yes
875;CHEMBL1645466;nM;10.0;8.0;NC1CCN(Cc2ccn3ncnc(Nc4cccc(c4)C#C)c23)CC1;346.190594704;6;2;2.377299999999999;yes
876;CHEMBL419137;nM;10.0;8.0;COc1cc2ncnc(NC3CC3c4ccccc4)c2cc1OC;321.147726848;5;1;3.615000000000002;yes
879;CHEMBL325245;nM;10.0;8.0;COc1cc2ncnc(NCc3ccccc3)c2cc1OC;295.132076784;5;1;3.259100000000002;yes
880;CHEMBL135902;nM;10.0;8.0;COc1cc2ncnc(Sc3cccc(Cl)c3)c2cc1OC;332.038626336;5;0;4.451600000000003;yes
881;CHEMBL3233774;nM;10.0;8.0;Fc1ccc(Nc2ncnc3sc(NC(=O)\C=C\CNCC4COC4)cc23)cc1Cl;447.093201748;7;3;3.9581000000000026;yes
882;CHEMBL181617;nM;10.0;8.0;ClCCNc1ccc2ncnc(Nc3cccc(Br)c3)c2c1;376.00903622799996;4;2;4.786600000000003;yes
884;CHEMBL3655348;nM;10.0;8.0;CN(C)C\C=C\C(=O)N1CCc2c(C1)sc3ncc(C#N)c(Nc4ccc(F)c(Cl)c4)c23;469.11393719200004;6;1;4.706580000000003;yes
885;CHEMBL469354;nM;10.0;8.0;NS(=O)(=O)c1ccc(Nc2nc3ncnc(Nc4cccc(Br)c4)c3s2)cc1;475.9724777560001;8;3;3.9834000000000014;yes
886;CHEMBL300791;nM;10.0;8.0;COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCN4CCN(C)CC4;445.16808094000004;7;1;3.8007000000000026;yes
887;CHEMBL479800;nM;10.0;8.0;Fc1cccc(COc2ccc(Nc3ncnc4cc(sc34)c5occc5)cc2Cl)c1;451.05575361999996;6;1;7.0664000000000025;yes
888;CHEMBL208292;nM;10.0;8.0;COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN4CCC[C@@H]4C(=O)N;429.13678081200004;6;2;3.624200000000002;yes
889;CHEMBL470011;nM;10.0;8.0;Fc1ccc(Nc2ncnc3nc(Nc4ccc(CN5CCCCC5)cc4)sc23)cc1Cl;468.12992160399995;7;2;6.351900000000004;yes
890;CHEMBL3671493;nM;10.0;8.0;CC(=O)NCCCCOc1cc2ncnc(Nc3ccc(Br)cc3F)c2cc1NC(=O)C=C;515.0968299159999;6;3;4.694600000000003;yes
891;CHEMBL207235;nM;10.0;8.0;CO[C@@H]1C[C@@H](N(Cc2cc3c(Nc4cccc(Cl)c4F)ncnc3cc2OC)C1)C(=O)N;459.14734549600007;7;2;3.2491000000000003;yes
892;CHEMBL93181;nM;10.0;8.0;COc1ccc2c(Nc3cccc(Br)c3)ncnc2c1;329.016374104;4;1;4.1445000000000025;yes
894;CHEMBL311129;nM;10.0;8.0;Cc1c([nH]c2ncnc(Nc3cccc(Cl)c3)c12)c4ccccc4;334.09852416;3;2;5.330320000000003;yes
895;CHEMBL461792;nM;10.08;7.996539467890494;COC[C@H]1Oc2cc3ncnc(Nc4cccc(Cl)c4)c3cc2O[C@@H]1COC;401.11423379999997;7;1;3.828000000000002;yes
896;CHEMBL3219130;nM;10.18;7.99225222199926;CCC(C)C1N(C)C(=O)c2cnc(Nc3ccc(cc3OC)N4CCN(C)CC4)nc2N(C1=O)c5cccc(NC(=O)C=C)c5;612.3172517600001;9;2;4.270100000000003;yes
898;CHEMBL1928315;nM;10.8;7.966576244513051;Fc1ccc(Nc2ncnc3sc(cc23)C(=O)c4cc5ccccc5s4)cc1Cl;439.001609872;6;1;6.673100000000003;yes
902;CHEMBL3805236;nM;10.9;7.962573502059376;COc1cc2ncnc(Nc3cccc(c3)C#C)c2c4OCCOc14;333.11134133999997;6;1;3.134500000000002;yes
903;CHEMBL544867;nM;11.0;7.9586073148417755;Cl.Cc1cccc(Nc2ncnc3c4cc(ccc4sc23)[N+](=O)[O-])c1;372.044774336;6;1;5.226520000000002;yes
905;CHEMBL208594;nM;11.0;7.9586073148417755;CNc1ccc2ncnc(Nc3cccc(C)c3)c2c1;264.137496512;4;2;3.7235200000000015;yes
906;CHEMBL517907;nM;11.0;7.9586073148417755;CS(=O)(=O)CCNCCCCOc1ccc2ncnc(Nc3cccc(c3)C#C)c2c1;438.17256169200004;7;2;3.147900000000001;yes
907;CHEMBL90013;nM;11.0;7.9586073148417755;CN(C)c1ccc2c(Nc3cccc(Br)c3)ncnc2c1;342.04800858000004;4;1;4.201900000000003;yes
908;CHEMBL3908303;nM;11.0;7.9586073148417755;C[C@@H](Nc1ncnc2oc(cc12)c3ccccc3)c4ccccc4;315.137162164;4;1;5.0629000000000035;yes
910;CHEMBL52784;nM;11.0;7.9586073148417755;CN(C)c1ccc2cncnc2c1;173.095297352;3;0;1.6957999999999998;yes
911;CHEMBL94061;nM;11.0;7.9586073148417755;CN(C)C\C=C\C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1;425.08512236;5;2;4.192200000000002;yes
912;CHEMBL345294;nM;11.0;7.9586073148417755;Brc1cccc(Nc2ncnc3ccsc23)c1;304.96223035599996;4;1;4.197400000000001;yes
913;CHEMBL134312;nM;11.0;7.9586073148417755;CN(C)N=Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1;370.05415658;5;1;4.696200000000003;yes
914;CHEMBL1683973;nM;11.0;7.9586073148417755;Cc1ncnc(Nc2ccc(OCc3cccc(F)c3)c(Cl)c2)c1C#CCCCN4CCCC4;478.193567416;5;1;6.127620000000006;yes
915;CHEMBL340862;nM;11.0;7.9586073148417755;CCOc1cc2ncnc(Nc3cccc(c3)c4cncs4)c2cc1OCC;392.13069688;7;1;5.294300000000003;yes
916;CHEMBL511990;nM;11.0;7.9586073148417755;OC[C@@H]1CCCN1Cc2ccc(Nc3nc4ncnc(Nc5ccc(F)c(Cl)c5)c4s3)cc2;484.12483622400003;8;3;5.322700000000004;yes
917;CHEMBL125920;nM;11.0;7.9586073148417755;CCOc1cc2ncnc(Nc3cccc(c3)c4cc[nH]n4)c2cc1OCC;375.16952491200004;6;2;4.560900000000003;yes
918;CHEMBL3671489;nM;11.0;7.9586073148417755;CCNC(=O)NCCCOc1cc2ncnc(Nc3ccc(Br)cc3F)c2cc1NC(=O)C=C;530.107728948;6;4;4.4875000000000025;yes
920;CHEMBL2110732;nM;11.0;7.9586073148417755;COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)\C=C\CN4CCCCC4;469.16808094000004;6;2;5.1551000000000045;yes
925;CHEMBL251314;nM;11.7;7.931814138253838;CCOc1cc2ncnc(C#CC(C)(Cc3ccccc3)N4CCC(CC4)C(=O)O)c2cc1OCC;487.24710653599993;6;1;4.576700000000003;yes
927;CHEMBL2408045;nM;12.0;7.920818753952375;CNC(=O)CN1CCC(CC1)Oc2cc3c(Nc4cccc(Cl)c4F)ncnc3cc2OC;473.16299556;7;2;3.763700000000001;yes
928;CHEMBL1271562;nM;12.0;7.920818753952375;CC[C@@H](Nc1ncnc2sc3CN(CCc3c12)C(=O)\C=C\CN(C)C)c4ccccc4;435.20928154800004;6;1;4.257000000000004;yes
929;CHEMBL1271561;nM;12.0;7.920818753952375;C[C@@H](Nc1ncnc2sc3CN(CCc3c12)C(=O)\C=C\CN(C)C)c4ccccc4;421.19363148400004;6;1;3.866900000000003;yes
930;CHEMBL513208;nM;12.0;7.920818753952375;CN(C)Cc1ccc(Nc2nc3ncnc(Nc4ccc(F)c(Cl)c4)c3s2)cc1;428.098621476;7;2;5.427600000000003;yes
931;CHEMBL256295;nM;12.0;7.920818753952375;Nc1ncnc(Nc2ccc3c(cnn3Cc4cccc(F)c4)c2)c1\C=N\O;377.140036352;8;3;3.1476000000000015;yes
932;CHEMBL3655343;nM;12.0;7.920818753952375;CN(C)C\C=C\C(=O)N1Cc2sc3ncnc(Nc4ccc(F)c(Cl)c4)c3c2C1;431.09828712800004;6;1;4.187400000000003;yes
933;CHEMBL37543;nM;12.0;7.920818753952375;OCC(O)Cn1ncc2cc3c(Nc4cccc(Br)c4)ncnc3cc12;413.04873685200005;7;3;2.8388;yes
935;CHEMBL3919447;nM;12.0;7.920818753952375;COc1cc2ncnc(N[C@H](C)c3ccccc3)c2cc1O[C@H]4CCN(C4)C(=O)C=C;418.20049069199996;6;1;3.9772000000000034;yes
936;CHEMBL328691;nM;12.0;7.920818753952375;COC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1;372.022187756;5;2;4.314200000000002;yes
937;CHEMBL256297;nM;12.0;7.920818753952375;CO\N=C\c1c(N)ncnc1Nc2ccc(OCc3cccc(F)c3)c(Cl)c2;401.10548068400004;7;2;4.154200000000002;yes
938;CHEMBL497697;nM;12.0;7.920818753952375;CN\N=C\c1c(N)ncnc1Nc2ccc3c(cnn3Cc4cccc(F)c4)c2;390.171670828;8;3;2.8928000000000003;yes
940;CHEMBL1914670;nM;12.0;7.920818753952375;C[C@@H](Nc1ncnc2[nH]c(cc12)c3ccc(cc3)C#N)c4ccccc4;339.148395544;4;2;4.669680000000002;yes
941;CHEMBL328704;nM;12.0;7.920818753952375;CCN(CC)CC#CC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1;451.100772424;5;2;4.4196000000000035;yes
942;CHEMBL511637;nM;12.0;7.920818753952375;Fc1ccc(Nc2ncnc3nc(Nc4ccc(CN5CCOCC5)cc4)sc23)cc1Cl;470.10918616;8;2;5.1982000000000035;yes
944;CHEMBL128759;nM;12.0;7.920818753952375;OCCN(CCO)c1cc2ncnc(Nc3cccc(Br)c3)c2cn1;403.064386916;7;3;2.3218999999999994;yes
945;CHEMBL399372;nM;12.0;7.920818753952375;CCOc1cc2ncnc(C#Cc3nccn3c4ccccc4)c2cc1OCC;384.15862588;6;0;4.012700000000003;yes
947;CHEMBL420254;nM;12.0;7.920818753952375;CCNc1ccc2c(Nc3cccc(Br)c3)ncnc2c1;342.04800858000004;4;2;4.567700000000002;yes
948;CHEMBL3671571;nM;12.0;7.920818753952375;CN1CCN(CC(=O)NCCOc2cc3ncnc(Nc4ccc(Br)cc4F)c3cc2NC(=O)C=C)CC1;585.149928108;8;3;3.1419000000000015;yes
949;CHEMBL3958006;nM;12.0;7.920818753952375;Fc1ccc(Nc2ncnc3cnc(NC(=O)\C=C\CN4CCOCC4)cc23)cc1Cl;442.13202978;7;2;3.387800000000002;yes
950;CHEMBL205798;nM;12.0;7.920818753952375;CC(=O)Nc1cccc(c1)C#Cc2cncnc2Nc3ccc(OCc4cccc(F)c4)c(Cl)c3;486.12588178;5;2;5.949900000000004;yes
951;CHEMBL3639752;nM;12.0;7.920818753952375;CC(=O)NCCOc1cc2ncnc(Nc3cc(F)c(Br)cc3F)c2cc1NC(=O)C=C;505.05610797599996;6;3;4.053500000000002;yes
