,chembl_id,IC50,units,canonical_smiles,pIC50
6178,CHEMBL3671505,25,nM,Brc1cc(F)c(Nc2ncnc3c2cc(NC(=O)C=C)c(OCCOC)c3)cc1,7.6020598
5473,CHEMBL3747281,5020,nM,Fc1ccc(C2=NN(C(=O)C)C(c3ccc(C(=O)OCCn4c(C)ncc4[N+](=O)[O-])cc3)C2)cc1,5.2992964
6610,CHEMBL4061382,26,nM,ClCCN(P(=O)(OCCCC(=O)Oc1cc2c(Nc3cc(Cl)c(OCc4cc(F)ccc4)cc3)ncnc2cc1)N)CCCl,7.5850267
5301,CHEMBL3633939,3050,nM,Clc1c(OCc2ncccc2)ccc(Nc2ncnc3c2cc([N-]C=C(C#N)C#N)cc3)c1,5.5157003
2542,CHEMBL484321,213,/uM,O=[N+]([O-])c1n(C[C@H](OC(=O)c2ccc(NC=C3C(=O)C=CC3=O)cc2)COC(C)(C)C)ccn1,6.6716204
910,CHEMBL166154,0.19,nM,Clc1cc(Nc2ncnc3c2cc(NC)nc3)ccc1,9.7212467
3020,CHEMBL597950,23.799999,nM,Clc1c(F)ccc(NC=2N=CNC=3C=2C=C(OCC=C=C)C(=O)C=3)c1,7.6234231
3289,CHEMBL1081312,260,nM,Nc1ncnc2n(C3CCCC3)nc(-c3cnc4[nH]ccc4c3)c12,6.5850267
3200,CHEMBL1173250,10970,nM,Brc1c(Br)ccc(C2=NN(C(=S)N)C(c3c(Br)cccc3)C2)c1,4.9597936
2873,CHEMBL605413,2200,nM,O(C)c1c(C(CCC)Cc2c3c(N)nc(N)nc3oc2)cccc1,5.6575775
2812,CHEMBL242740,3300,nM,O(C)c1c([O-])c2C(=O)C(c3ccc(O)cc3)=COc2cc1O,5.4814858
4916,CHEMBL3263378,2800,nM,O(C)c1ccc(C2=NN(C=3SCC(=O)N=3)C(c3cc4c(cc3)cccc4)C2)cc1,5.5528421
16,CHEMBL310798,3000,nM,Oc1c([O-])c(O)cc(C=C(C#N)C#N)c1,5.5228786
1249,CHEMBL92985,56,nM,Fc1cc(Nc2ncnc3c2cccc3)ccc1,7.251812
6733,CHEMBL202721,110,nM,O=C(Nc1ccc(Nc2ncnc3c2cc(OC)c(OCCC[NH+]2CCOCC2)c3)cc1)c1ccccc1,6.9586072
320,CHEMBL338935,220,nM,O=C(N(C)[C@@H]1[C@H](OC)[C@@]2(C)O[C@H](n3c4c5n2c2c(c5c5c(C(=O)NC5)c4c4c3cccc4)cccc2)C1)CN,6.6575775
4656,CHEMBL3092314,32,nM,Clc1c(F)ccc(Nc2ncnc3c2cc(NC(=O)NCCC[NH+](CC)CC)c(O[C@@H]2COCC2)c3)c1,7.4948502
5274,CHEMBL3622628,167.3,nM,Fc1c(C#N)cc(Nc2ncnc3c2cc(NC(=O)C=C)c(O[C@@H]2COCC2)c3)cc1,6.776504
4827,CHEMBL3234749,47,nM,FC(F)(F)c1c(CN2CC[NH+](C)CC2)ccc(NC(=O)c2cc(NC(=O)c3cnc(NC4CCCCC4)nc3)c(C)cc2)c1,7.3279023
4519,CHEMBL2426277,12000,nM,Clc1c(-c2c3n(nc2)C=CC=C3)nc(Nc2c(OC)cc(N3CC[NH+](C)CC3)c(NC(=O)C=C)c2)nc1,4.9208188
1938,CHEMBL243410,283.29999,nM,FCC(OC=1C(=O)C=C(Nc2ncnc3c2cc(NC(=O)/C=C/C[NH+](C)C)c(OCC)c3)C(=O)C=1)CF,6.5477533
736,CHEMBL154260,24000,nM,S(Sc1c(CCC(=O)NCCc2ccccc2)c2c([nH]1)cccc2)c1c(CCC(=O)NCCc2ccccc2)c2c([nH]1)cccc2,4.6197886
3076,CHEMBL591440,24650,nM,Clc1c(O)c(CN(C(=S)Nc2ccccc2)CCCC)cc(Cl)c1,4.6081829
3666,CHEMBL1812555,7710,nM,Brc1cc(Nc2ncnc3c2cc(NC(=O)/C=C/c2c(OC)cccc2)cc3)ccc1,5.1129456
3596,CHEMBL111307,1778.28,nM,Brc1c(C)ccc(Nc2c(C#N)cnc3c2cc(OC)c(OC)c3)c1,5.75
1657,CHEMBL371888,59,nM,O(Cc1ncccc1)c1c(C)cc(Nc2ncnc3c2cc(OC)c(OC)c3)cc1,7.2291479
2500,CHEMBL453398,190,nM,Clc1c(Oc2ncccc2)ccc(Nc2ncnc3c2sc(C#C[C@H]2NC[C@H](OC(=O)N4CCOCC4)C2)c3)c1,6.7212462
1759,CHEMBL383444,1000,nM,Brc1cc(Nc2ncnc3Oc4c(cc(OC)cc4)CNc23)ccc1,6
5048,CHEMBL3325471,5400,nM,O(C)c1cc2c(-n3nnnc3C(C3C(C#N)=C(N)N(c4cnccc4)C4=C3C(=O)CCC4)=C2)cc1,5.2676063
3373,CHEMBL1242379,6340,nM,O(C)c1c(OC)ccc(-c2nn(C(C)(C)C)c3ncnc(N)c23)c1,5.1979108
3083,CHEMBL2374457,58,nM,Clc1c(Cc2[nH]c3c(n2)cc(-c2nn(C4CCC(C5CC[NH+](CCCOC)CC5)CC4)c4ncnc(N)c24)cc3)cccc1,7.2365718
116,CHEMBL136058,0.81,nM,Brc1cc(Nc2ncnc3c2cc(NC(=O)/C=C/C(=O)NCCC[NH+]2CCOCC2)nc3)ccc1,9.0915146
4427,CHEMBL2333998,412.79999,nM,O(C)c1c(OC)cc2ncnc(Nc3cc(C#N)ccc3)c2c1,6.3842602
2163,CHEMBL298931,17.379999,nM,N(c1ncnc2c1nc(N)nc2)c1cc(C)ccc1,7.7599502
1558,CHEMBL75049,1900,nM,N(c1ncnc2[nH]c(C)c(C)c12)c1ccccc1,5.7212462
5723,CHEMBL3814812,1.5,nM,Clc1c(OCc2cc(F)ccc2)ccc(Nc2ncnc3c2cc(NC(=S)NCCC[NH+]2CCOCC2)cc3)c1,8.8239088
773,CHEMBL6976,160000,nM,O(C)c1c(OC)cc2c(NC=3N=CN(C)C(=O)C=3C2)c1,3.7958801
3451,CHEMBL1271950,720,nM,OC[C@@H](Nc1ncnc2sc3c(c12)CCCC3)c1ccccc1,6.1426673
6659,CHEMBL4063427,100000,nM,Clc1cc2nc(Cc3oc(-c4ccccc4)nn3)[nH]c2cc1,4
3866,CHEMBL1914673,29,nM,Brc1ccc(-c2[nH]c3ncnc(N[C@H](C)c4ccc(F)cc4)c3c2)cc1,7.5376019
2874,CHEMBL595757,18200,nM,O(C)c1c(C(C(C)C)Cc2c3c(N)nc(N)nc3oc2)cccc1,4.7399287
5194,CHEMBL3613702,0.037,nM,Clc1c(Cl)cc(Nc2ncnc3c2cc(NC(=O)C=C)cc3)cc1F,10.431798
1446,CHEMBL332765,29,nM,Clc1cc(Nc2ncnc3[nH]nc(Nc4ccc(N(C)C)cc4)c23)ccc1,7.5376019
3755,CHEMBL1828861,3430,nM,S(=O)(=O)(NC(=O)Cn1c(C)ncc1[N+](=O)[O-])c1ccc(C)cc1,5.4647059
2602,CHEMBL448172,6.6069999,nM,Clc1c(F)ccc(Cc2ncnc3c2nc(NC(=O)C=C)c(OCCC[NH+]2CCC(C)CC2)c3)c1,8.1799955
5107,CHEMBL3416597,108,nM,O(C)c1c(-c2sc3ncnc(NCc4ccncc4)c3c2)cccc1,6.9665761
4241,CHEMBL2152253,410,nM,Clc1c(S(=O)([O-])=Nc2c(C)c(F)ccc2)cc(-c2nc(C(=O)NC)c(N)nc2)cc1,6.3872161
3399,CHEMBL1242293,380,nM,Nc1ncnc2n(C(C)C)nc(-c3cnc4[nH]ccc4c3)c12,6.4202166
2838,CHEMBL50,900,nM,O=C1C(=O)c2c([O-])cc(O)cc2OC1c1cc(O)c(O)cc1,6.0457573
6810,CHEMBL4102288,626,nM,Fc1c(N2C(=O)N([C@@H]3CN(C(=O)CC)CC3)c3nc(Nc4cc(C)c(N5CCOCC5)cc4)ncc3C2)cc(OC)cc1,6.2034259
5704,CHEMBL3814959,0.80299997,nM,Brc1ccc(Nc2ncnc3c2cc(NC(=O)N)cc3)cc1,9.0952845
4334,CHEMBL2316142,1500,nM,Clc1c(/C=C\2/C(=O)/C(=C/c3cc(OC)cc(OC)c3)/CCC/2)cccc1,5.8239088
6478,CHEMBL3919271,55,nM,Clc1c(Nc2cc(NC(=O)C=C)ccc2)nc(Nc2c(OC)c(OC)ccc2)nc1,7.2596374
2514,CHEMBL514016,800,nM,Clc1c(-c2sc3c(n2)cccc3)ccc(Nc2ncnc3c2ccc(Cl)c3)c1,6.09691
1163,CHEMBL126974,1100,nM,O(CC)c1c(OCC)cc2ncnc(Nc3cc(-c4cncnc4)ccc3)c2c1,5.9586072
768,CHEMBL157021,16000,nM,S(Sc1c(CCC(=O)N)c2c([nH]1)cccc2)c1c(CCC(=O)N)c2c([nH]1)cccc2,4.7958798
4382,CHEMBL2325104,940,nM,Clc1ccc(C2=NN(C(=S)N)C(c3c4c(ccc3)cccc4)C2)cc1,6.0268722
2923,CHEMBL597708,3580,nM,O=C(NCCCCCCCCC)COc1cc([O-])c2C(=O)C=C(c3ccccc3)Oc2c1,5.4461169
5836,CHEMBL3890751,36,nM,S(=O)(=O)(n1c2c(cc(Nc3ncnc4c3cc(NC(=O)/C=C/C[NH+]3CCCC3)c(OCC)c4)cc2)cc1)c1ccccc1,7.4436975
4401,CHEMBL2337362,42000,nM,Clc1c2c3c(Nc4ccc(C(C)C)cc4)nc(N)nc3[nH]c2ccc1,4.3767509
3192,CHEMBL1173454,3060,nM,S=C(N)N1C(c2ccc([N+](=O)[O-])cc2)CC(c2cc(C)c(C)cc2)=N1,5.5142784
6709,CHEMBL4066504,25.299999,nM,Brc1cc(Nc2ncnc3c2cc(NC(=S)Nc2cc(Cl)c(F)cc2)cc3)ccc1,7.5968795
4011,CHEMBL1958039,4120,nM,Brc1ccc(C2=NN(C=3SCC(=O)N=3)C(c3ccc(Cl)cc3)C2)cc1,5.3851027
5112,CHEMBL3416592,1,nM,O(C)c1c(-c2sc3ncnc(N[C@H](CO)c4ccccc4)c3c2)cccc1,9
4015,CHEMBL1958212,1080,nM,O=C1N=C(N2C(c3ccccc3)CC(c3ccc(C)cc3)=N2)SC1,5.9665761
4920,CHEMBL3290142,11,nM,FC(F)(F)c1cc(C(=O)Nc2cc(C(=O)Nc3cnc(Nc4cc(NC(=O)C=C)ccc4)nc3)c(C)cc2)ccc1,7.9586072
3189,CHEMBL1173688,4210,nM,Brc1c(C2N(C(=S)N)N=C(c3cc(C)c(C)cc3)C2)cccc1,5.3757181
3529,CHEMBL1683964,120,nM,Clc1c(OCc2cc(F)ccc2)ccc(Nc2c(/C=C/c3ccc(C[NH+]4CCOCC4)cc3)c(C)ncn2)c1,6.9208188
4165,CHEMBL2048792,2300,nM,Clc1c(Oc2cc3NC(=O)Cc3cc2)ccc(Nc2ncnc3c2n(CCO)cc3)c1,5.6382723
2609,CHEMBL522623,0.6918,nM,Brc1cc(Nc2ncnc3c2cc(CC(=O)/C=C\Cl)nc3)ccc1,9.1600199
322,CHEMBL335012,8180,nM,O=C(N(C)[C@@H]1[C@H](OC)[C@@]2(C)O[C@H](n3c4c5n2c2c(c5c5c(C(=O)NC5)c4c4c3cccc4)cccc2)C1)c1cnccc1,5.0872469
3915,CHEMBL1928889,4410,nM,Clc1cc(Nc2ncnc3c2cc(NCc2ccc(Cl)cc2)cc3)ccc1,5.3555613
4412,CHEMBL2335018,12800,nM,FC(F)(F)c1cc(Nc2nc(NC(=O)C(C)(C)C)nc3[nH]c(CCc4ncccc4)cc23)ccc1,4.8927898
2544,CHEMBL484316,23,/uM,O=[N+]([O-])c1n(C[C@H](OC(=O)c2ccc(NC=C3C(=O)C=CC3=O)cc2)COC)ccn1,7.6382723
6820,CHEMBL4103893,888.20001,nM,Fc1c(N2C(=O)N([C@@H]3CN(C(=O)CC)CC3)c3nc(Nc4cc(C)c(N5C[C@H](C)[NH+](C)[C@H](C)C5)cc4)ncc3C2)cc(OC)cc1,6.0514894
4599,CHEMBL2437462,1.21,nM,O=C(Nc1cc(N2C(=O)C=Nc3c2nc(Nc2ccc(N4CC[NH+](C)CC4)cc2)nc3)ccc1)C=C,8.9172144
6378,CHEMBL3678956,10,nM,Fc1cc(NC(=O)c2ccc(Nc3n(C(C)C)c4nc(Nc5ccc(N6CC[NH+](C)CC6)cc5)ncc4n3)cc2)ccc1,8
625,CHEMBL274732,930,nM,O(CC[NH+](CCN1CCC(n2c3ncnc(N)c3c(-c3cc(OC)ccc3)c2)CC1)C)C,6.031517
1512,CHEMBL122182,8,nM,Clc1cc(Nc2ncnc3[nH]nc(Nc4ccc(O)cc4)c23)ccc1,8.0969105
6077,CHEMBL3910915,7.5999999,nM,Brc1c(C)cc(Nc2ncnc3c2cc(OC2CCN(C(=O)C=C)CC2)c(OC)c3)cc1,8.1191864
1348,CHEMBL101683,7300,nM,Clc1ccc(NC(=O)c2c(NCc3ccncc3)cccc2)cc1,5.1366773
586,CHEMBL540082,158,nM,Brc1cc(Nc2ncnc3c2sc2c([N+](=O)[O-])cccc32)ccc1,6.801343
928,CHEMBL419047,2500,nM,S(Cc1c([O-])c(OC)cc(/C=C(\C#N)/C(=O)N)c1)c1ccc(O)cc1,5.6020598
3371,CHEMBL1242289,768,nM,O(CC)c1c(O)cc(-c2nn(C3CCCC3)c3ncnc(N)c23)cc1,6.1146388
787,CHEMBL30432,1,nM,N(C)(C)c1ncc2ncnc(Nc3cc4c(n(Cc5ccccc5)nc4)cc3)c2c1,9
4834,CHEMBL3234757,160,nM,FC(F)(F)c1c(CN2CC[NH+](C)CC2)ccc(NC(=O)c2cc(NC(=O)c3cnc4[nH]ccc4c3)c(C(C)C)cc2)c1,6.7958798
1833,CHEMBL210502,1061,nM,ClCCN(N=O)C(=O)Nc1cc2c(Nc3cc(C)ccc3)ncnc2cc1,5.9742846
636,CHEMBL541586,25,nM,Fc1cc(Nc2ncnc3c2cc(OC)c(OC)c3)ccc1,7.6020598
5698,CHEMBL3805849,192000,nM,Clc1c(Cl)ccc(C2N(c3ccccc3)N=C(c3cc4OCCOc4cc3)C2)c1,3.7166989
351,CHEMBL338155,260,nM,O(C)[C@H]1[C@@H]([NH2+]C)C[C@@H]2O[C@@]1(C)n1c3c4n2c2c(c4c4[C@H](O)NC(=O)c4c3c3c1cccc3)cccc2,6.5850267
1662,CHEMBL193544,140,nM,Clc1c(OCc2ncccc2)ccc(Nc2ncnc3c2c(OC2CC[NH+](C)CC2)ccc3)c1,6.8538718
3272,CHEMBL1242567,2900,nM,Fc1c(O)cc(-c2nn(C3CNC3)c3ncnc(N)c23)cc1,5.5376019
3278,CHEMBL1242749,2600,nM,Fc1c(O)cc(-c2nn([C@H]3COCC3)c3ncnc(N)c23)cc1,5.5850267
5947,CHEMBL3950630,6.6999998,nM,S(=O)(=O)(N=C1N=C(C)C=C(C)N1)c1ccc(Nc2nncc3c2cccc3)cc1,8.1739254
1696,CHEMBL380669,4.1999998,nM,Clc1c(F)ccc(Nc2ncnc3c2cc(NC(=O)C#CCN(C(C)C)C(C)C)cc3)c1,8.3767509
1017,CHEMBL31588,3.9000001,nM,Brc1cc(Nc2ncnc3c2cc(NC(=O)C=C)c(OCCCC[NH+](C)C)c3)ccc1,8.4089355
6125,CHEMBL3676394,149,nM,Brc1cc(F)c(Nc2ncnc3c2cc(NC(=O)C=C)c(OCC(NC(=O)C[NH+](C)C)C(C)C)c3)cc1,6.8268137
3358,CHEMBL1241945,1040,nM,Fc1c(O)ccc(-c2nn(C(C)C)c3ncnc(N)c23)c1,5.9829664
4020,CHEMBL1958217,4240,nM,O(C)c1ccc(C2N(C=3SCC(=O)N=3)N=C(c3ccc(C)cc3)C2)cc1,5.3726339
6593,CHEMBL253969,5853.3999,nM,Brc1cc(F)c(COc2c(C(=O)N)c(NC(=O)NCCCC[NH+]3CCCC3)sn2)c(F)c1,5.2325916
1274,CHEMBL327307,0.071999997,nM,Brc1c(Br)ccc(Nc2ncnc3c2cc(OC)c(OC)c3)c1,10.142668
2853,CHEMBL567873,33,nM,O=C(OC[C@H]1NCCOC1)Nc1c(CC)c2c(Nc3cc4c(n(Cc5ccccc5)nc4)cc3)ncnc2[nH]1,7.4814858
3327,CHEMBL1241583,17000,nM,N#CCc1cc(-c2nn(C(C)C)c3ncnc(N)c23)ccc1,4.7695513
904,CHEMBL424375,300,nM,O(C)c1cc(-c2c3c(N)ncnc3n(-c3ccc(C[NH2+]CCO)cc3)c2)ccc1,6.5228786
1085,CHEMBL346553,6100,nM,S(Sc1n(C)c2c(c1C(=O)c1ccc(C(=O)OC)cc1)cccc2)c1n(C)c2c(c1C(=O)c1ccc(C(=O)OC)cc1)cccc2,5.2146702
5791,CHEMBL3957801,9,nM,Clc1c(F)ccc(Nc2ncnc3c2cc(NC(=O)CC)c(OCCC[NH+]2CCOCC2)c3)c1,8.0457573
6482,CHEMBL3938358,5.5,nM,Clc1c(Nc2cc(NC(=O)C=C)ccc2)nc(Nc2c(OC)cc(OC)cc2)nc1,8.2596369
3026,CHEMBL592480,560,nM,Clc1cc(C=NN=C2SCC(=O)N2)c(O)cc1,6.251812
4063,CHEMBL2018762,5000,nM,O=C(OCC)Nc1c(C)ccc(Nc2ncnc3c2cc(OC)c(OC)c3)c1,5.3010302
2427,CHEMBL472545,30,nM,Clc1c(OCc2ccccc2)ccc(Nc2c(c(N)ncn2)-c2oc(CCN3CCOCC3)nn2)c1,7.5228786
5235,CHEMBL3622674,3.3,nM,O=C(Nc1c(OC)cc2ncnc(Nc3cc(C#C)ccc3)c2c1)/C=C/C[NH+](C)C1CC1,8.4814863
4358,CHEMBL2325100,60,nM,Cc1ccc(C2=NN(c3ccccc3)C(c3cc4c(cc3)cccc4)C2)cc1,7.221849
2291,CHEMBL403357,267,nM,O(/N=C/c1c(Nc2cc3c(n(Cc4cc(OC)ccc4)nc3)cc2)ncnc1N)C,6.5734887
5762,CHEMBL3828079,44.099998,nM,N(c1ncnc2c1cc(-c1cn(C)nc1)cc2)c1cc2c(nccc2)cc1,7.3555613
654,CHEMBL131577,10000,nM,Clc1c(NC(=O)c2sc(NC(=O)C3CC3)nc2)c(C)ccc1,5
4090,CHEMBL2029441,1.67,nM,O=C(Nc1cc(N2C(=O)N(c3ccc(OCc4ccccc4)cc3)Cc3c2nc(Nc2c(OC)cc(N4CC[NH+](C)CC4)cc2)nc3)ccc1)C=C,8.7772837
4366,CHEMBL2325092,100,nM,O(C)c1ccc(C2=NN(c3ccccc3)C(c3c4c(ccc3)cccc4)C2)cc1,7
3627,CHEMBL114593,954.98999,nM,Brc1cc(Nc2c(C#N)cnc3c2cc(NC(=O)C#CCOC)cc3)ccc1,6.0200014
4585,CHEMBL3436357,28,nM,Clc1c(OCc2cc(F)ccc2)ccc(Nc2ncnc3c2cc(-c2oc(CN4CCN(C(=O)OCC)CC4)cc2)cc3)c1,7.5528421
3149,CHEMBL483108,22800,nM,Brc1c(F)ccc(Nc2nc(N)nc3[nH]c(CCc4ccccc4)cc23)c1,4.642065
5812,CHEMBL3972605,343,nM,O=C(Nc1c(OC)cc2ncnc(Nc3ccc(C(O)c4ccccc4)cc3)c2c1)CC,6.4647059
5619,CHEMBL3775664,53.099998,nM,Clc1c(F)ccc(Nc2ncnc3c2cc2N(CCC[NH+]4CCOCC4)C(=O)COc2c3)c1,7.2749057
6773,CHEMBL4065970,28.9,nM,Clc1c(N2C(=O)N([C@@H]3CN(C(=O)CCC)CC3)c3nc(Nc4cc(C)c(N5CC[NH+](C)CC5)cc4)ncc3C2)cccc1,7.5391021
3903,CHEMBL1929556,112700,nM,Clc1cc(F)c(Nc2nc(N)nc3[nH]c(Cc4c(OC)ccc(OC)c4)cc23)cc1,3.948076
1670,CHEMBL201840,12600,nM,O=C(OC)c1c(OC)c2c(c3oc4C(=O)c5c(C(=O)c4c13)cccc5)cccc2,4.8996296
3809,CHEMBL926,5551,nM,Oc1c(O)ccc(CC[NH2+]C(CCc2ccc(O)cc2)C)c1,5.2556286
3671,CHEMBL1812564,3490,nM,Brc1ccc(/C=C/C(=O)Nc2cc3c(Nc4cc(Cl)ccc4)ncnc3cc2)cc1,5.4571748
3379,CHEMBL1242756,34000,nM,Nc1ncnc2n(C)nc(-c3cc4c(nccc4)cc3)c12,4.4685211
4336,CHEMBL2316140,1600,nM,O(C)c1cc(OC)cc(/C=C\2/C(=O)/C(=C/c3ccccc3)/CCC/2)c1,5.7958798
4147,CHEMBL2047241,276100,nM,Fc1ccc(Nc2nc(N)nc3c2-c2c(cccc2)C3)cc1,3.5589335
5994,CHEMBL3975598,611,nM,O=C(OC)CNC(=O)c1ccc(Nc2ncnc3c2cc(OC)c(OCCCN2CC[NH+](C)CC2)c3)cc1,6.2139587
4677,CHEMBL3098321,1630,nM,Clc1nc(Nc2ccc(S(=O)(=O)NC)cc2)c2c(n1)cc(OC)c(OC)c2,5.7878122
5684,CHEMBL3804868,6.6999998,nM,Clc1c(C)ccc(Nc2ncnc3c2c2OCCOc2c(OCC)c3)c1,8.1739254
3297,CHEMBL1242024,954,nM,Oc1cc(C)c(-c2nn(C(C)C)c3ncnc(N)c23)cc1,6.0204515
543,CHEMBL538814,460,nM,FC(F)(F)c1cc(Nc2ncnc3c2sc2c3cc([N+](=O)[O-])cc2)ccc1,6.3372421
5469,CHEMBL3746421,6670,nM,FC(F)(F)c1ccc(C2=NN(C(=O)C)C(c3ccc(C(=O)OC(Cn4c(C)ncc4[N+](=O)[O-])C)cc3)C2)cc1,5.1758742
3117,CHEMBL1093099,15070,nM,S(c1c2c3c(N)nc(N)nc3[nH]c2ccc1)c1ccccc1,4.8218865
2599,CHEMBL490498,0.97719997,nM,Clc1c(F)ccc(Cc2ncnc3c2nc(NC(=O)C=C)c(OCCOC)c3)c1,9.0100164
5115,CHEMBL3416447,9,nM,O(C)c1c(-c2sc3ncnc(N[C@H](C)c4ccccc4)c3c2)cccc1,8.0457573
4344,CHEMBL2315700,125,ug.mL-1,O=C([O-])[C@@H](N=C1C(=O)C(C[C@]2(C)[C@@H](C)CC[C@]3(C)C(C)=CCC[C@@H]23)=C([O-])C(=O)C1)CO,6.90309
4759,CHEMBL3221551,800,nM,O=C(OCCCC)Nc1ccc(Nc2ncnc3c2cc(OC)c(OC)c3)cc1,6.09691
3924,CHEMBL1928315,10.8,nM,Clc1c(F)ccc(Nc2ncnc3sc(C(=O)c4sc5c(c4)cccc5)cc23)c1,7.9665761
1713,CHEMBL204268,187,nM,Clc1c(F)ccc(Nc2ncnc3c2c(OC2COCC2)cc(OC)c3)c1,6.7281585
1430,CHEMBL57251,1700,nM,O=C(Nc1c(OC)cc(OC)cc1)/C(/C#N)=C/c1cc(O)c([O-])cc1,5.7695513
2131,CHEMBL410253,5.6230001,nM,N(CCCN1CC[NH+](C)CC1)c1c(Nc2ncnc3c2cncc3)cccc1C,8.2500315
6141,CHEMBL3655350,1,nM,Clc1cc(O)cc(Nc2ncnc3sc4c(c23)CCN(C(=O)/C=C/CC(C(C)C)C)C4)c1,9
4095,CHEMBL2031301,17.4,nM,Brc1cc(Nc2ncnc3c2cc(N(C(=O)CC[NH+](C)C)C)cc3)ccc1,7.7594509
565,CHEMBL153409,732,nM,Brc1cc(Nc2ncnc3c2sc2ncccc32)ccc1,6.135489
4118,CHEMBL2029698,26600,nM,N(N=Cc1c(-c2ccccc2)[nH]nc1)=C([C@@H](Cc1ccccc1)C)C,4.5751185
765,CHEMBL552634,700,nM,S(=O)(=O)(Oc1ccc(C(=O)C(C[NH+](C)C)=C)cc1)c1ccc(C(=O)N(C)C)cc1,6.154902
2954,CHEMBL598163,3.4000001,nM,Clc1c(F)ccc(Nc2ncnc3c2cc(OCCCCCC(=O)NO)c(OC)c3)c1,8.4685211
3372,CHEMBL1242290,3020,nM,O(C)c1c(OC)ccc(-c2nn(C(C)C)c3ncnc(N)c23)c1,5.5199928
483,CHEMBL92812,4,nM,Brc1cc(Nc2ncnc3c2ccc(NC)c3)ccc1,8.3979397
3060,CHEMBL590962,36880,nM,Brc1c(O)c(CN(C(=O)Nc2ccccc2)CCCC)ccc1,4.4332089
6246,CHEMBL3671571,12,nM,Brc1cc(F)c(Nc2ncnc3c2cc(NC(=O)C=C)c(OCCNC(=O)CN2CC[NH+](C)CC2)c3)cc1,7.9208188
1712,CHEMBL377277,8068,nM,Clc1c(F)ccc(Nc2ncnc3c2c(OC(C)C)cc(OC)c3)c1,5.0932341
1771,CHEMBL204570,40,nM,Clc1c(OCc2cc(F)ccc2)ccc(Nc2c(C#Cc3nc(CO)ccc3)cncn2)c1,7.3979402
4467,CHEMBL2381504,42,nM,Clc1c(Oc2cc(NC(=O)C=C)ccc2)nc(Nc2c(OC)cc(N3CCN(CC(=O)N4CCC(Oc5c(S(=O)(=O)c6ccccc6)[n+]([O-])on5)CC4)CC3)cc2)nc1,7.3767509
6257,CHEMBL3671582,49,nM,Clc1c(Nc2ncnc3c2cc(NC(=O)C=C)c(OCCNC(=O)C)c3)ccc(Cl)c1,7.309804
4867,CHEMBL3233768,6414,nM,Clc1c(F)ccc(Nc2ncnc3sc(NC(=O)/C(=C/C)/C)cc23)c1,5.1928711
6281,CHEMBL3676357,4,nM,Clc1c(Cl)cc(Nc2ncnc3c2cc(NC(=O)C=C)c(OCCNCC(=O)C)c3)c(F)c1,8.3979397
222,CHEMBL60472,3600,nM,S(Sc1n(C)c2c(c1C(=O)Nc1ccccc1)ccc(OC)c2)c1n(C)c2c(c1C(=O)Nc1ccccc1)ccc(OC)c2,5.4436975
196,CHEMBL62701,22300,nM,S(Sc1n(C)c2ncccc2c1C(=O)Nc1ccccc1)c1n(C)c2ncccc2c1C(=O)Nc1ccccc1,4.6516953
2056,CHEMBL250315,5600,nM,O(C)c1c(OC)cc2ncnc(C#Cc3ccccc3)c2c1,5.251812
6661,CHEMBL4098409,167.10001,nM,O(C)c1cc2c(N(c3nc(C)[nH+]c4c(Cc5ccccc5)c[nH]c34)CC2)cc1,6.7770233
2,CHEMBL137635,9300,nM,N(=NCc1ncccc1)Nc1cc2c(N(C)c3ccccc3)ncnc2cc1,5.031517
1820,CHEMBL383760,50,nM,Clc1c(F)c(Nc2ncnc3c2cc(CN2[C@@H](C(=O)NC)CCC2)c(OC)c3)ccc1,7.3010302
4239,CHEMBL2152704,1620,nM,O=C1N(c2c(C)ccc(O)c2)c2ncnc(N)c2C2=C1CCCC2,5.7904849
1264,CHEMBL93544,2000,nM,Brc1cc(Nc2ncnc3c2cc([N+](=O)[O-])c(N(C)C)c3)ccc1,5.6989698
3416,CHEMBL1242758,1400,nM,Nc1ncnc2n(C3CCCC3)nc(-c3c4c([nH]cc4)ccc3)c12,5.8538718
4700,CHEMBL3133821,270,nM,Oc1cc(Nc2c3c([nH]c4c3cccc4)ncc2)ccc1,6.5686364
337,CHEMBL337027,160,nM,O=C([O-])CCC(=O)N(C)[C@@H]1[C@H](OC)[C@@]2(C)O[C@H](n3c4c5n2c2c(c5c5c(C(=O)NC5)c4c4c3cccc4)cccc2)C1,6.7958798
5443,CHEMBL3740003,2890,nM,O=C(NC=1C(=O)OC(c2c(c(-c3ccccc3)[nH]c2C)-c2ccccc2)=CC=1)c1ccccc1,5.5391021
5044,CHEMBL3325475,1300,nM,O=C(OC)C1=C(N)N(c2cnccc2)C2=C(C(=O)CCC2)C1C=1c2n(nnn2)-c2c(cc(OC)cc2)C=1,5.8860564
1958,CHEMBL233325,26,nM,Fc1cc(Cn2ncc3c2ccc(NC2=NC=Nn4c2c(CN2C[C@@H](O)C[NH2+]CC2)cc4)c3)ccc1,7.5850267
3409,CHEMBL1242573,1200,nM,Fc1c2c([nH]nc2)cc(-c2nn(C(C)C)c3ncnc(N)c23)c1,5.9208188
5601,CHEMBL3763360,9.1000004,nM,Clc1c(F)ccc(Nc2ncnc3c2cc(NC(=O)/C=C/c2ccc(OC)cc2)c(O[C@@H]2COCC2)c3)c1,8.0409584
